id,sex,age,completeness,preservation,occupation,own_grave,tax,pipe_notch
MB410,pm,old,partial,fair,NA,NA,NA,1
MB298,m,old,complete,good,NA,NA,NA,2
MB406,m,ma,complete,excellent,NA,NA,NA,6
MB292,m,ma,partial,fair,NA,NA,NA,4
MB186,m,ma,complete,good,NA,NA,NA,7
MB329,pm,ma,complete,good,NA,NA,NA,6
MB392,pf,ma,complete,good,NA,NA,NA,3
MB251,m,eya,complete,excellent,NA,NA,NA,2
MB287,f,ma,complete,good,NA,NA,NA,0
MB261,m,lya,partial,fair,NA,NA,NA,0
MB366,m,ma,complete,good,NA,NA,NA,2
MB207,m,lya,complete,excellent,NA,NA,NA,2
MB301,pm,ma,complete,excellent,NA,NA,NA,7
MB121,pm,lya,complete,excellent,NA,NA,NA,8
MB9,m,ma,complete,fair,NA,NA,NA,4
MB423,m,ma,complete,good,NA,NA,NA,7
MB29,m,lya,complete,excellent,NA,NA,NA,1
MB117,pm,lya,complete,good,NA,NA,NA,6
MB365,m,ma,complete,good,NA,NA,NA,3
MB266,m,ma,complete,excellent,NA,NA,NA,5
MB18,m,lya,complete,good,NA,NA,NA,5
MB163,m,old,complete,excellent,NA,NA,NA,6
MB78,m,old,complete,excellent,NA,NA,NA,6
MB107,m,lya,complete,excellent,NA,NA,NA,3
MB131,m,ma,complete,excellent,NA,NA,NA,6
MB407,pm,ma,complete,good,NA,NA,NA,5
MB30,m,ma,complete,excellent,NA,NA,NA,4
MB204,pm,ma,complete,good,NA,NA,NA,6
MB158,m,ma,fragmentary,fair,NA,NA,NA,6
MB235,m,ma,complete,excellent,NA,NA,NA,5
MB116,pm,ma,partial,fair,NA,NA,NA,6
MB65,m,lya,complete,excellent,NA,NA,NA,6
MB53,m,ma,complete,good,NA,NA,NA,5
MB180,m,ma,complete,excellent,NA,NA,NA,5
MB361,m,ma,complete,excellent,NA,NA,NA,3
MB255,pm,ma,partial,good,NA,NA,NA,3
MB120,m,eya,complete,excellent,NA,NA,NA,3
MB425,pf,old,complete,fair,NA,NA,NA,0
MB69,m,ma,partial,good,NA,NA,NA,0
MB396,pm,lya,complete,excellent,NA,NA,NA,6
MB60,pm,ma,complete,good,NA,NA,NA,0
